Club,Stadium ,Pitch Length (m),Pitch Width (m),
Brighton,The American Express Community Stadium,105,68,
Liverpool,Anfield,101,68,
Fulham,Craven Cottage (London),100,65,
Leeds Utd,Elland Road,105,68,
Arsenal ,Emirates Stadium,105,68,
Man City,Etihad Stadium,105,68,
Everton,Goodison Park,100.48,68,
Brentford,Gtech Community Stadium,105,68,
Leicester City,King Power Stadium ,105,68,
West Ham,London Stadium ,105,68,
Wolves,Molineux Stadium,105,68,
Man Utd,Old Trafford,105,68,
Crystal Palace,Selhurst Park,101,68,
Newcastle Utd,St. James'' Park,105,68,
Southampton,St. Mary''s Stadium,105,68,
Chelsea,Stamford Bridge,103,67.5,
Nottingham Forest,The City Ground,102,68,
Tottenham Hotspur,Tottenham Hotspur Stadium,105,68,
Aston Villa,Villa Park,105,68,
Bournemouth,Vitality Stadium,105,68,
